name,layer,dmpl_category,address,city,state,zip,phone,toolkit_resources,web_link,full_address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Honest Journey Sober Living","Physical Location","Temporary Housing","3442 57th Street","Des Moines",IA,50310.0,515.219.4911,"Transitional sober living housing and supportive environments tailored for men.",https://soberlivingiowa.com/,"3442 57th Street, Des Moines, IA 50310",41.626531,-93.696504,1,rooftop,"3442 57th St",,"Des Moines, IA 50310",3442,"57th St",,,"Des Moines",IA,"Polk County",50310,US,"Statewide IA",gcod_usn56qjwtjyba3lcyf2fgzr5yvua5,building_centroid
"Hope Center for Women and Children/Life Recovery Programs","Physical Location",Shelters,"3800 E. Douglas Ave.","Pleasant Hill",IA,50317.0,515.264.0144,"Features the Hope Center for Women and Children, a 2-year residential life recovery program for mothers experiencing homelessness and their kids. Also provides free, long-term Life Recovery Programs for single men, single women, and mothers with children to address the root causes of chronic poverty, addiction, and housing instability. Operated by Hope Ministries.",https://www.hopeiowa.org/,"3800 E. Douglas Ave., Pleasant Hill, IA 50317",41.629895,-93.540912,1,rooftop,"3800 E Douglas Ave",,"Des Moines, IA 50317",3800,"E Douglas Ave",,,"Des Moines",IA,"Polk County",50317,US,"Statewide IA",gcod_usnkf9xgycezzczdaxpttq45cl635,building_centroid
Hope+Elim,"Physical Location","Food Pantries","2500 University Ave.","Des Moines",IA,50311.0,515.282.4481,"Serves a free weekly hot community meal every Wednesday evening from 5 PM-6:30 PM.",https://www.lutheranchurchofhope.org/hope-elim/,"2500 University Ave., Des Moines, IA 50311",41.600237,-93.651203,1,rooftop,"2500 University Ave",,"Des Moines, IA 50311",2500,"University Ave",,,"Des Moines",IA,"Polk County",50311,US,"Statewide IA",gcod_usnz9rm7neekbajbcpxqlwslybw2f,building_centroid
"Hospice Care at UnityPoint at Home","Physical Location","Mental Health","11333 Aurora Avenue",Urbandale,IA,50322.0,515.557.3126,"Delivers comprehensive hospice care for individuals of all age brackets and medical diagnoses facing the final stages of life, specializing in routine home care, respite support, or inpatient placement. Features the 12-bed Taylor Hospice House facility with an RN on duty 24/7.",https://www.unitypoint.org/find-a-service/hospice-care,"11333 Aurora Avenue, Urbandale, IA 50322",41.638924,-93.774374,1,rooftop,"11333 Aurora Ave",,"Urbandale, IA 50322",11333,"Aurora Ave",,,Urbandale,IA,"Polk County",50322,US,"Statewide IA",gcod_usnun489lyat9w8h2u25para3zafa,building_centroid
"House of Mercy Des Moines","Physical Location","Substance Abuse","1409 Clark Street","Des Moines",IA,50314.0,515.643.6500,"Offers integrated substance-related/addictive disorders treatment and mental health programs. Also provides supportive transitional housing for sober living to improve long-term functioning in a clean, affordable environment. Intake Hours: Monday-Friday 9 AM-2 PM (Office open until 6 PM).",https://www.mercyone.org/desmoines/house-of-mercy/,"1409 Clark Street, Des Moines, IA 50314",41.606232,-93.637282,1,rooftop,"1409 Clark St",,"Des Moines, IA 50314",1409,"Clark St",,,"Des Moines",IA,"Polk County",50314,US,"Statewide IA",gcod_usnu73evr577wws2rg9uhvcamks74,building_centroid
"IHYC Youth Opportunity Center","Physical Location",Shelters,"612 Locust Street","Des Moines",IA,50309.0,515.883.2379,"Iowa Homeless Youth Centers facility providing crisis counseling, service referrals, staff support, showers, laundry facilities, a phone charging station, and donation closet access for unhoused youth. Offers nine low-barrier, single-bed residential units for youth ages 18-24. Center Hours: Mon-Fri 10 AM-6 PM. Weekday Meals: Free hot lunch (12 PM-1 PM) and dinner (5 PM-6 PM) served to at-risk and homeless youth ages 16-22.",https://www.yss.org/locations/ihyc/,"612 Locust Street, Des Moines, IA 50309",41.586553,-93.625635,1,rooftop,"612 Locust St",,"Des Moines, IA 50309",612,"Locust St",,,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usnyh7mj627x6g99p3gfewsvesune,building_centroid
"IMPACT Community Action Partnership","Physical Location","General Assistance","3226 University Avenue","Des Moines",IA,50311.0,515.518.4770,"Helps lower-income families stabilize basic needs through utility bill payments, seasonal heating assistance (November-April), emergency food assistance, personal hygiene supplies, and disaster recovery support. Hours: Mon/Tue/Thu/Fri 8 AM-4:30 PM, Wed 9:30 AM-4:30 PM.",https://www.impactcap.org/,"3226 University Avenue, Des Moines, IA 50311",41.600047,-93.661596,1,rooftop,"3226 University Ave",,"Des Moines, IA 50311",3226,"University Ave",,,"Des Moines",IA,"Polk County",50311,US,"Statewide IA",gcod_usnz9rm7neekbajbwkru6hmxmzpre,building_centroid
"IMPACT Community Action Partnership (Ankeny DMARC)","Physical Location","Food Pantries","641 S. Ankeny Blvd",Ankeny,IA,50023.0,515.518.4770,"Ankeny community action site providing individuals and families up to three days' worth of free emergency food in partnership with DMARC. Hours: Mon/Tue/Thu/Fri 8 AM-4:30 PM, Wed 9:30 AM-4:30 PM.",http://dmarcunited.org/food,"641 S. Ankeny Blvd, Ankeny, IA 50023",41.724112,-93.599692,1,rooftop,"641 S Ankeny Blvd",,"Ankeny, IA 50023",641,"S Ankeny Blvd",,,Ankeny,IA,"Polk County",50023,US,"Statewide IA",gcod_usnry8vwazeer7gbc39qt2gsc5nva,building_centroid
"International Rescue Committee","Physical Location","Immigrants & Refugees","1111 9th St. #226","Des Moines",IA,50314.0,515.216.3619,"Delivers holistic case management, immediate housing placement assistance, employment service connections, and health/wellness navigations to newly resettling refugee individuals and families.",https://rescue.org/united-states/des-moines-ia,"1111 9th St. #226, Des Moines, IA 50314",41.598195,-93.628698,1,rooftop,"1111 9th St","Ste 226","Des Moines, IA 50314",1111,"9th St",Ste,226,"Des Moines",IA,"Polk County",50314,US,"Statewide IA",gcod_usnh582lz5vhzyubhhypxn3elf6be-jgxgj78lattth,building_centroid
"Iowa Attorney General's Office","Physical Location","Legal Assistance","1305 E. Walnut Street","Des Moines",IA,50319.0,"1.888.777.4590, 515.281.5926","The Consumer Protection Division protects the public from financial fraud, systemic deception, and unfair business practices. Hours: Monday-Friday 8 AM-4:30 PM.",http://www.iowaattorneygeneral.gov/,"1305 E. Walnut Street, Des Moines, IA 50319",41.590239,-93.599251,1,rooftop,"1305 E Walnut St",,"Des Moines, IA 50319",1305,"E Walnut St",,,"Des Moines",IA,"Polk County",50319,US,"Statewide IA",gcod_usn8wrq622jgabybddtecv6abatba,building_centroid
"Iowa Bureau of Refugee Services","Physical Location","Immigrants & Refugees","321 E 12th St.","Des Moines",IA,50319.0,515.344.3675,"Assists regional refugees and asylees in establishing long-term economic independence. Helps navigate state benefits, coordinates a specialized CDL commercial driving training track through DMACC, and runs tailored language workshops for English language learners. Hours: Monday-Friday 8 AM-4:30 PM.",https://hhs.iowa.gov/programs/programs-and-services/refugee-services,"321 E 12th St., Des Moines, IA 50319",41.591132,-93.601136,1,rooftop,"321 E 12th St",,"Des Moines, IA 50319",321,"E 12th St",,,"Des Moines",IA,"Polk County",50319,US,"Statewide IA",gcod_usnmdummzql6qr2eqn7rz97n6anr8,building_centroid
"Iowa Center for Economic Success","Physical Location","Job Assistance","2222 Grand Ave.","Des Moines",IA,50312.0,,"Hosts free VITA program tax preparation services alongside broader regional small business training and asset-building initiatives. View website for updated seasonal site listings and direct appointment scheduling.",https://theiowacenter.org/taxservices/,"2222 Grand Ave., Des Moines, IA 50312",41.584205,-93.648155,1,rooftop,"2222 Grand Ave",,"Des Moines, IA 50312",2222,"Grand Ave",,,"Des Moines",IA,"Polk County",50312,US,"Statewide IA",gcod_usnw6jxc8g7erxghhfgcxlfz48hr2,building_centroid
"Iowa Family Support Network","Physical Location",Disabilities,"3000 Easton Boulevard","Des Moines",IA,50317.0,888.425.4371,"Offers services for families with children with disabilities, including the 'Children At Home' program which provides financial support for assistive items not covered by other programs.",https://www.iafamilysupportnetwork.org/,"3000 Easton Boulevard, Des Moines, IA 50317",41.612515,-93.558668,1,rooftop,"3000 Easton Blvd",,"Des Moines, IA 50317",3000,"Easton Blvd",,,"Des Moines",IA,"Polk County",50317,US,"Statewide IA",gcod_usn64r5zh8z3lf687ct47anj8w4q8,building_centroid
"Iowa Harm Reduction Coalition","Physical Location","Substance Abuse","1221 Center St. Suite 03","Des Moines",IA,50309.0,515.207.5202,"Offers risk reduction kits, naloxone kits, syringe clean-up/disposal, rapid HIV/HCV testing, fentanyl test strips, and linkages to substance use treatment.",https://www.iowaharmreductioncoalition.org/,"1221 Center St. Suite 03, Des Moines, IA 50309",41.592003,-93.633422,1,rooftop,"1221 Center St","Ste 3","Des Moines, IA 50309",1221,"Center St",Ste,3,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usnrjdkx6glwjnndkma2fq9xeyjq9-bl5pcqen3kwmd,building_centroid
"Iowa Legal Aid","Physical Location","Legal Assistance","666 Walnut St Floor 25","Des Moines",IA,50309.0,"1.800.532.1275, 1.800.532.1503","Provides free civil legal assistance for income-eligible clients. Includes a dedicated Legal Hotline for Older Iowans (1.800.992.8161) and specialized assistance for immigrants regarding rights, housing, and food/health matters.",https://www.iowalegalaid.org/,"666 Walnut St Floor 25, Des Moines, IA 50309",41.585533,-93.6255,1,rooftop,"666 Walnut St","Ste 25","Des Moines, IA 50309",666,"Walnut St",Ste,25,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usnnanuftdmw5kdh8wx9kra8ws96d-jdlvpkysa99ac,building_centroid
"Iowa Migrant Movement for Justice","Physical Location","Immigrants & Refugees",,"Des Moines",IA,,515.255.9809,"Provides low-income immigrants and refugees a safe space to seek free legal assistance for naturalization and immigration-related issues. Hours: Mon-Thu 9 AM-4:30 PM.",https://www.iowammj.org/,,41.672687,-93.572173,1,place,,,"Des Moines, IA 50301",,,,,"Des Moines",IA,"Polk County",50301,US,"TIGER/Line® dataset from the US Census Bureau",,
"Iowa Narcotics Anonymous","Physical Location","Substance Abuse","4424 Fleur Dr. #107","Des Moines",IA,50321.0,800.897.6242,"Nonprofit fellowship for individuals for whom drugs have become a major problem.",https://iowa-na.org/,"4424 Fleur Dr. #107, Des Moines, IA 50321",41.54424,-93.64561,0.83,nearest_rooftop_match,"4500 Fleur Dr","# 107","Des Moines, IA 50321",4500,"Fleur Dr",#,107,"Des Moines",IA,"Polk County",50321,US,"Statewide IA",gcod_usnkvd3ghjy5tg4bdt654qzxh6gee,building_centroid
"Iowa Office of Civil Rights","Physical Location","Legal Assistance","6200 Park Avenue, Suite 100","Des Moines",IA,50321.0,515.281.4121,"Conducts impartial, fact-driven investigative analyses of discrimination complaints filed within Iowa.",https://icrc.iowa.gov/,"6200 Park Avenue, Suite 100, Des Moines, IA 50321",41.55452,-93.701715,1,rooftop,"6200 Park Ave","Ste 100","Des Moines, IA 50321",6200,"Park Ave",Ste,100,"Des Moines",IA,"Polk County",50321,US,"Statewide IA",gcod_usn2hravrfqunff953jpqrlv969ff-rstxzkx7qrzeb,building_centroid
"Iowa Ombudsman","Physical Location","General Assistance","1112 E Grand Ave","Des Moines",IA,50319.0,515.281.3592,"Independent, impartial agency serving as a resource for citizens to air grievances about state government. Hours: Monday-Friday 8 AM-4:30 PM.",https://www.legis.iowa.gov/Ombudsman/,"1112 E Grand Ave, Des Moines, IA 50319",41.592774,-93.602761,1,rooftop,"1112 E Grand Ave",,"Des Moines, IA 50319",1112,"E Grand Ave",,,"Des Moines",IA,"Polk County",50319,US,"Statewide IA",gcod_usndzzzzgz3d7ldhfxnutqcr3zawb,building_centroid
"Iowa SIDS Foundation","Physical Location","General Assistance","2963 100th Street Ste. 2",Urbandale,IA,50322.0,515.965.7655,"Statewide non-profit health organization providing emotional support to SIDS and SUID families.",https://iowasids.org/,"2963 100th Street Ste. 2, Urbandale, IA 50322",41.622196,-93.75566,1,range_interpolation,"2963 100th St","Ste 2","Urbandale, IA 50322",2963,"100th St",Ste,2,Urbandale,IA,"Polk County",50322,US,"TIGER/Line® from the US Census Bureau",gcod_usng5s7kpvta6spfkqk5p2szzdv79,
"IowaWORKS Center","Physical Location","Job Assistance","200 Army Post Road #44","Des Moines",IA,50315.0,515.281.9619,"State agency providing employment services for job seekers. Hours: Mon-Fri 8 AM-4:30 PM (Wed 9 AM-4:30 PM).",https://workforce.iowa.gov/locations/iowaworks-des-moines,"200 Army Post Road #44, Des Moines, IA 50315",41.525806,-93.618258,1,rooftop,"200 Army Post Rd","Ste 44","Des Moines, IA 50315",200,"Army Post Rd",Ste,44,"Des Moines",IA,"Polk County",50315,US,"Statewide IA",gcod_usnxdrye4kekur8d26mmjcnmxqzy5-593pbhgdbtruh,building_centroid
"Johnston Partnership Food Pantry","Physical Location","Food Pantries","5870 Merle Hay Road, Suite C",Johnston,IA,50131.0,515.528.2379,"Provides up to three days worth of food for free. Hours: Tue/Thu/Sat 9 AM-1 PM, Tue 4 PM-6 PM. Arrive 15 minutes before closing for assistance.",https://www.johnstonpartnership.org/food-pantry,"5870 Merle Hay Road, Suite C, Johnston, IA 50131",41.667383,-93.699356,1,rooftop,"5870 Merle Hay Rd","Ste C","Johnston, IA 50131",5870,"Merle Hay Rd",Ste,C,Johnston,IA,"Polk County",50131,US,"Statewide IA",gcod_usnqhe83sm7kmcvcepd3mvbsnsuf4-5zkeapkpxharg,building_centroid
Joppa,"Physical Location",Shelters,"2326 Euclid Ave","Des Moines",IA,50310.0,515.288.5699,"Provides assistance and supplies to homeless individuals and families. Hours: Tue-Fri 9 AM-4 PM.",http://www.joppa.org/,"2326 Euclid Ave, Des Moines, IA 50310",41.626987,-93.647832,1,rooftop,"2326 Euclid Ave",,"Des Moines, IA 50310",2326,"Euclid Ave",,,"Des Moines",IA,"Polk County",50310,US,"Statewide IA",gcod_usnydvaumqv9ln7cr82lrxty9srp6,building_centroid
"Junior Achievement of Central Iowa","Physical Location",Education,"6100 Grand Avenue","Des Moines",IA,50312.0,515.279.9602,"K-12 classroom outreach programs fostering work-readiness, entrepreneurship, and financial literacy.",https://www.juniorachievement.org/web/ja-centraliowa,"6100 Grand Avenue, Des Moines, IA 50312",41.582138,-93.700231,1,rooftop,"6100 Grand Ave",,"Des Moines, IA 50312",6100,"Grand Ave",,,"Des Moines",IA,"Polk County",50312,US,"Statewide IA",gcod_usnw6jxc8g7erxghn3lqvr64tku89,building_centroid
"Kingdom Living","Physical Location","Substance Abuse","3120 SW 9th St.","Des Moines",IA,50315.0,,"Faith-based, structured sober living. Apply via email (admissions@kingdomlivingia.com).",https://www.kingdomlivingia.com/all-about-us,"3120 SW 9th St., Des Moines, IA 50315",41.55657,-93.625991,1,rooftop,"3120 SW 9th St",,"Des Moines, IA 50315",3120,"SW 9th St",,,"Des Moines",IA,"Polk County",50315,US,"Statewide IA",gcod_usn4df4jqfh88n2am6twdtesqmwke,building_centroid
"L.U.N.A. (Latinas Unidas Por Un Nuevo Amanecer)","Physical Location","Immigrants & Refugees","100 East Euclid, Suite 153","Des Moines",IA,50313.0,515.271.5060,"Provides culturally-specific services to Latina victims of domestic violence and sexual assault.",https://www.lunaiowa.org/,"100 East Euclid, Suite 153, Des Moines, IA 50313",41.628929,-93.618298,1,rooftop,"100 E Euclid Ave","Ste 153","Des Moines, IA 50313",100,"E Euclid Ave",Ste,153,"Des Moines",IA,"Polk County",50313,US,"Statewide IA",gcod_usnzhr87frvwc27c6ve4ffw9hf6y9-9hdbwlfpm9kw5,building_centroid
"Learning Disabilities Association of Iowa","Physical Location",Disabilities,"5665 Greendale Road, Suite D",Johnston,IA,50131.0,515.209.2290,"Support and resources for individuals with learning disabilities, parents, and educators.",https://ldaiowa.org/,"5665 Greendale Road, Suite D, Johnston, IA 50131",41.66331,-93.699352,1,rooftop,"5665 Greendale Rd","Ste D","Johnston, IA 50131",5665,"Greendale Rd",Ste,D,Johnston,IA,"Polk County",50131,US,"Statewide IA",gcod_usnpmgssw8eb897hxma8afn5dqwh9-yvze5gl43xqjg,building_centroid
"LADOS (Life After Death of Spouse)","Physical Location",Grief,"3700 Cottage Grove","Des Moines",IA,50311.0,515.277.6969,"Group for widowed persons meeting the second Sunday of each month at 7 PM to support each other through grief.",https://www.dmarcunited.org/services/lados/,"3700 Cottage Grove, Des Moines, IA 50311",41.598002,-93.66717,1,rooftop,"3700 Cottage Grove Ave",,"Des Moines, IA 50311",3700,"Cottage Grove Ave",,,"Des Moines",IA,"Polk County",50311,US,"Statewide IA",gcod_usnxeyrbel7ke9z7jpp645ua2d4jc,building_centroid
"Link Associates","Physical Location",Disabilities,"1452 29th Street","West Des Moines",IA,50266.0,515.262.8888,"Non-profit organization providing services for individuals with intellectual disabilities and their families.",https://www.linkassociates.org/,"1452 29th Street, West Des Moines, IA 50266",41.605404,-93.657027,1,range_interpolation,"1452 29th St",,"Des Moines, IA 50311",1452,"29th St",,,"Des Moines",IA,"Polk County",50311,US,"TIGER/Line® from the US Census Bureau",gcod_usnjqehvydhx3vddneexkhkty5w36,
"LULAC (League of United Latin American Citizens)","Physical Location","Immigrants & Refugees","5714 SE 24th Ct.","Des Moines",IA,50320.0,515.208.7312,"Sponsors Hispanic cultural/political events, provides college scholarships, and assists with income tax preparation and immigration/naturalization paperwork for families of undocumented immigrants.",https://www.latinovoteiowa.org/,"5714 SE 24th Ct., Des Moines, IA 50320",41.531497,-93.572364,1,rooftop,"5714 SE 24th Ct",,"Des Moines, IA 50320",5714,"SE 24th Ct",,,"Des Moines",IA,"Polk County",50320,US,"Statewide IA",gcod_usnvgfvmuh9pw3r59gmd79s7ylcmb,building_centroid
"Lutheran Services of Iowa (Refugee Center)","Physical Location","Immigrants & Refugees","3116 University Avenue","Des Moines",IA,50311.0,"515.271.7411, 515.274.4946, 515.271.7335","Collaborates with former refugees on citizenship education, US Citizenship exam prep, English/civics test prep, and interview coaching. Offers specialized programs for Elder Refugees and Refugee Child Care.",https://lsiowa.org/,"3116 University Avenue, Des Moines, IA 50311",41.600108,-93.66041,1,rooftop,"3116 University Ave",,"Des Moines, IA 50311",3116,"University Ave",,,"Des Moines",IA,"Polk County",50311,US,"Statewide IA",gcod_usnz9rm7neekbajbnc2ay6nmvu4q7,building_centroid
"Lutheran Services of Iowa (Mental Health)","Physical Location","Mental Health","3125 Cottage Grove Ave.","Des Moines",IA,50311.0,515.271.7411,"Provides a range of therapy services, including cognitive behavioral therapy, and group/individual family counseling.",https://lsiowa.org/,"3125 Cottage Grove Ave., Des Moines, IA 50311",41.598791,-93.660588,1,rooftop,"3125 Cottage Grove Ave",,"Des Moines, IA 50311",3125,"Cottage Grove Ave",,,"Des Moines",IA,"Polk County",50311,US,"Statewide IA",gcod_usnxeyrbel7ke9z7r6b7jhyvtlxy9,building_centroid
"Mercy Behavioral Health Adult Services","Physical Location","Mental Health","1450 NW 114th Street",Clive,IA,50325.0,844.680.0504,"Multidisciplinary behavioral health team coordinating treatment with medical care. Emergency Care available 24/7 at 1111 6th Ave, Des Moines.",https://www.mercyone.org/desmoines/services/behavioral-health-care,"1450 NW 114th Street, Clive, IA 50325",41.603624,-93.77358,1,rooftop,"1450 NW 114th St",,"Clive, IA 50325",1450,"NW 114th St",,,Clive,IA,"Polk County",50325,US,"Statewide IA",gcod_usnk2ehkys2p5vggv4un9nujhwbee,building_centroid
"Mercy Hospice Bereavement Services","Physical Location",Grief,"500 SW 7th Street Ste. 104","Des Moines",IA,50309.0,515.643.8400,"Offers individual counseling, support groups, informational resources, and remembrance events for those grieving.",https://www.mercyonehomecarehospice.org/bereavement-support,"500 SW 7th Street Ste. 104, Des Moines, IA 50309",41.578092,-93.623786,1,rooftop,"500 SW 7th St","Ste 104","Des Moines, IA 50309",500,"SW 7th St",Ste,104,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usnr5hlxzn9gpwtbqpc2lgdgm2sng-fehxrlcvfgm49,building_centroid
"Mercy Ministry Food Pantry","Physical Location","Food Pantries","1451 E 25th Street","Des Moines",IA,50317.0,515.265.6000,"Food pantry open Tuesday and Thursday mornings by appointment only. Call to schedule.",https://www.dsmeastside.org/?subpages/food%20pantry.shtml,"1451 E 25th Street, Des Moines, IA 50317",41.605965,-93.570367,1,rooftop,"1451 E 25th St",,"Des Moines, IA 50317",1451,"E 25th St",,,"Des Moines",IA,"Polk County",50317,US,"Statewide IA",gcod_usnc8sdxb4ldt5z588l6h8mjxh4a3,building_centroid
"Mind & Spirit Counseling Center","Physical Location","Mental Health","8553 Urbandale Avenue",Urbandale,IA,50322.0,515.274.4006,"Provides counseling for grief, anxiety, depression, stress, relationships, and spiritual matters. Offers innovative services for children and adolescents.",https://mindspiritcenter.org/,"8553 Urbandale Avenue, Urbandale, IA 50322",41.621912,-93.734609,1,rooftop,"8553 Urbandale Ave",,"Urbandale, IA 50322",8553,"Urbandale Ave",,,Urbandale,IA,"Polk County",50322,US,"Statewide IA",gcod_usn486f667b8hysh645jvykewzfhg,building_centroid
"MindSpring Mental Health Alliance","Physical Location","Mental Health","511 East 6th Street, Suite B","Des Moines",IA,50309.0,515.850.1467,"Grassroots education, support, and advocacy organization focused on improving the lives of individuals impacted by mental health challenges.",https://mindspringhealth.org/,"511 East 6th Street, Suite B, Des Moines, IA 50309",41.591539,-93.610235,1,rooftop,"511 E 6th St","Ste B","Des Moines, IA 50309",511,"E 6th St",Ste,B,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usnvf3rxmbqx79ud2s3nsyqblejt9-7k29wxrsysdt4,building_centroid
"Momentum Art Access","Physical Location",Disabilities,"900 Keosauqua Way, Studio #109+103","Des Moines",IA,50309.0,515.669.4821,"Provides free art-making opportunities and education for individuals with disabilities. Sign up for appointments online.",https://teamcsa.org/our-services/momentum/studio/,"900 Keosauqua Way, Studio #109+103, Des Moines, IA 50309",41.591244,-93.630428,1,rooftop,"900 Keosauqua Way","Ste 109","Des Moines, IA 50309",900,"Keosauqua Way",Ste,109,"Des Moines",IA,"Polk County",50309,US,"Statewide IA",gcod_usnslen85rqb7yseuju4w6g93k6v4-7nt55vxhxquq5,building_centroid
Monsoon,"Physical Location","Immigrants & Refugees","4952 Franklin Ave.","Des Moines",IA,50310.0,515.288.0881,"Serves victims/survivors of domestic violence, sexual assault, and human trafficking in Asian and Pacific Islander communities. Provides free/confidential counseling, legal assistance, housing, and social services.",https://monsooniowa.org/,"4952 Franklin Ave., Des Moines, IA 50310",41.610951,-93.68728,1,rooftop,"4952 Franklin Ave",,"Des Moines, IA 50310",4952,"Franklin Ave",,,"Des Moines",IA,"Polk County",50310,US,"Statewide IA",gcod_usnsupwqvkcgk83ctp238dz8qk4wb,building_centroid
Mosaic,"Physical Location",Disabilities,"11141 Aurora Ave. Bldg 3",Urbandale,IA,50322.0,515.246.1840,"Supports individuals with intellectual disabilities through housing, community support, healthcare coordination, job coaching, and immigration mental health evaluation.",https://www.mosaicinfo.org/locations/iowa/central-ia/,"11141 Aurora Ave. Bldg 3, Urbandale, IA 50322",41.638789,-93.770621,1,rooftop,"11141 Aurora Ave","Bldg 3","Urbandale, IA 50322",11141,"Aurora Ave",Bldg,3,Urbandale,IA,"Polk County",50322,US,"Statewide IA",gcod_usnun489lyat9w8hhve967q592u4c-5vt2hknfmpg7d,building_centroid
"New Beginnings Community Food Closet","Physical Location","Food Pantries","8631 Hickman Road",Urbandale,IA,50322.0,515.255.2181,"Community food closet accessible 24/7 off Patricia Drive. No forms or questions asked.",https://www.newbeginnings-cc.org/community-food-closet/,"8631 Hickman Road, Urbandale, IA 50322",41.61566,-93.739047,1,rooftop,"8631 Hickman Rd",,"Urbandale, IA 50322",8631,"Hickman Rd",,,Urbandale,IA,"Polk County",50322,US,"Statewide IA",gcod_usnc2jh7ukdmh363l5b4v7hlqrfta,building_centroid
"Nisaa African Family Services","Physical Location","Immigrants & Refugees","4944 Franklin Ave. Suite P","Des Moines",IA,50310.0,515.255.5430,"Provides gender-based violence services for African populations, including legal/immigration referrals, counseling, housing, employment assistance, and medical advocacy.",https://nisaa-afs.org/,"4944 Franklin Ave. Suite P, Des Moines, IA 50310",41.610805,-93.687054,1,rooftop,"4944 Franklin Ave","Ste P","Des Moines, IA 50310",4944,"Franklin Ave",Ste,P,"Des Moines",IA,"Polk County",50310,US,"Statewide IA",gcod_usnsupwqvkcgk83c4m92hjnlfahde-kc5tdhurcpq7f,building_centroid
"North Des Moines Community Fridge","Physical Location","General Assistance","5720 Urbandale Ave.","Des Moines",IA,50310.0,515.255.2101,"Community fridge accessible 24/7 in the shed next to the church.",https://www.standrewsdsm.org/north-des-moines-community-fridge,"5720 Urbandale Ave., Des Moines, IA 50310",41.621592,-93.696463,1,rooftop,"5720 Urbandale Ave",,"Des Moines, IA 50310",5720,"Urbandale Ave",,,"Des Moines",IA,"Polk County",50310,US,"Statewide IA",gcod_usneagzdjpv4zxy965re8gtncp5f5,building_centroid
"North Side Library","Physical Location","Branch Locations","3516 Fifth Avenue","Des Moines",IA,50313.0,"(515) 283-4152","Library services available: Mon-Thu 10 AM-8 PM, Fri 10 AM-6 PM, Sat 10 AM-5 PM. Closed Sunday.",/locations-hours/north-side,"3516 Fifth Avenue, Des Moines, IA 50313",41.627405,-93.623876,1,rooftop,"3516 5th Ave",,"Des Moines, IA 50313",3516,"5th Ave",,,"Des Moines",IA,"Polk County",50313,US,"Statewide IA",gcod_usnttaxbprhe86h9ae6g287ycr7vd,building_centroid
"Northside Community Center","Physical Location","Community Centers","3010 6th Avenue","Des Moines",IA,50313.0,515.288.1524,"Offers crafts, games, exercise, and health clinics for seniors and adults. Meals served 11 AM-12:30 PM on selected days.",https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/...,"3010 6th Avenue, Des Moines, IA 50313",41.622594,-93.625243,1,rooftop,"3010 6th Ave",,"Des Moines, IA 50313",3010,"6th Ave",,,"Des Moines",IA,"Polk County",50313,US,"Statewide IA",gcod_usnzzvbyen3tjt99rpcm2uvqbshm8,building_centroid
"Northwest Community Center","Physical Location","Community Centers","5110 Franklin Avenue","Des Moines",IA,50310.0,515.279.2767,"Offers crafts, games, exercise, and health clinics for seniors and adults. Meals served 11 AM-12:30 PM on selected days.",https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/...,"5110 Franklin Avenue, Des Moines, IA 50310",41.611023,-93.689707,1,rooftop,"5110 Franklin Ave",,"Des Moines, IA 50310",5110,"Franklin Ave",,,"Des Moines",IA,"Polk County",50310,US,"Statewide IA",gcod_usnsupwqvkcgk83ckghf3h9d97dma,building_centroid
"Norwoodville Community Center","Physical Location","Community Centers","3077 Ν.Ε. 46th Avenue","Des Moines",IA,50317.0,515.266.5794,"Activities including crafts, games, exercise, health clinics, and congregate meals (11 AM-12:30 PM). Hours: Mon-Fri 8 AM-4:30 PM.",https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/...,"3077 Ν.Ε. 46th Avenue, Des Moines, IA 50317",41.643649,-93.556723,1,rooftop,"3077 NE 46th Ave",,"Des Moines, IA 50317",3077,"NE 46th Ave",,,"Des Moines",IA,"Polk County",50317,US,"Statewide IA",gcod_usnfbjm6dng6c647g3mbzprgv6272,building_centroid
"Oakridge Neighborhood Inc.","Physical Location","General Assistance","1401 Center St.","Des Moines",IA,50314.0,515.244.7702,"Offers youth programs (learning/school success), and family/workforce development (job readiness, ELL, citizenship, computer skills, parenting). Serves low-income and refugee families.",https://oakridgeneighborhood.org/youth-and-education/,"1401 Center St., Des Moines, IA 50314",41.592597,-93.6345,1,rooftop,"1401 Center St",,"Des Moines, IA 50314",1401,"Center St",,,"Des Moines",IA,"Polk County",50314,US,"Statewide IA",gcod_usn77284rx8s8gx53lbddgcavlxl3,building_centroid
