name,layer,dmpl_category,address,city,state,zip,phone,toolkit_resources,web_link,full_address
Nisaa African Family Services,Physical Location,Immigrants & Refugees,4944 Franklin Ave. Suite P,Des Moines,IA,50310.0,515.255.5430,"Provides gender-based violence services for African populations, including legal/immigration referrals, counseling, housing, employment assistance, and medical advocacy.",https://nisaa-afs.org/,"4944 Franklin Ave. Suite P, Des Moines, IA 50310"
North Des Moines Community Fridge,Physical Location,General Assistance,5720 Urbandale Ave.,Des Moines,IA,50310.0,515.255.2101,Community fridge accessible 24/7 in the shed next to the church.,https://www.standrewsdsm.org/north-des-moines-community-fridge,"5720 Urbandale Ave., Des Moines, IA 50310"
North Side Library,Physical Location,Branch Locations,3516 Fifth Avenue,Des Moines,IA,50313.0,(515) 283-4152,"Library services available: Mon-Thu 10 AM-8 PM, Fri 10 AM-6 PM, Sat 10 AM-5 PM. Closed Sunday.",/locations-hours/north-side,"3516 Fifth Avenue, Des Moines, IA 50313"
Northside Community Center,Physical Location,Community Centers,3010 6th Avenue,Des Moines,IA,50313.0,515.288.1524,"Offers crafts, games, exercise, and health clinics for seniors and adults. Meals served 11 AM-12:30 PM on selected days.",https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/...,"3010 6th Avenue, Des Moines, IA 50313"
Northwest Community Center,Physical Location,Community Centers,5110 Franklin Avenue,Des Moines,IA,50310.0,515.279.2767,"Offers crafts, games, exercise, and health clinics for seniors and adults. Meals served 11 AM-12:30 PM on selected days.",https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/...,"5110 Franklin Avenue, Des Moines, IA 50310"
Norwoodville Community Center,Physical Location,Community Centers,3077 Ν.Ε. 46th Avenue,Des Moines,IA,50317.0,515.266.5794,"Activities including crafts, games, exercise, health clinics, and congregate meals (11 AM-12:30 PM). Hours: Mon-Fri 8 AM-4:30 PM.",https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/...,"3077 Ν.Ε. 46th Avenue, Des Moines, IA 50317"
Oakridge Neighborhood Inc.,Physical Location,General Assistance,1401 Center St.,Des Moines,IA,50314.0,515.244.7702,"Offers youth programs (learning/school success), and family/workforce development (job readiness, ELL, citizenship, computer skills, parenting). Serves low-income and refugee families.",https://oakridgeneighborhood.org/youth-and-education/,"1401 Center St., Des Moines, IA 50314"
Optimae Behavioral Health Services,Physical Location,Mental Health,"600 East Court Avenue, Suite 200",Des Moines,IA,50309.0,515.243.3525,"Provides therapy, psychiatric medication evaluation, and skill-building supports in-person and via telehealth. Discounts based on family size/income.",https://optimaelifeservices.com/our-services/behavioral-health/,"600 East Court Avenue, Suite 200, Des Moines, IA 50309"
Orchard Place / PACE Center,Physical Location,Mental Health,620 8th St.,Des Moines,IA,50309.0,"515.697.5700 (Substance Abuse), 515.285.6781 (Mental Health)",Services for children age 18 and under for mental health and substance abuse issues. Also offers childcare resources and referrals.,https://orchardplace.org/,"620 8th St., Des Moines, IA 50309"
PEER Advocate Program,Virtual / Regional (No Address),General Assistance,,,,,515.286.2112,"Support for Polk County residents age 60+ to access housing, health care, insurance, nutrition, cleaning, yard work, transportation, and legal aid.",https://www.polkcountyiowa.gov/community-family-youth-services/community-and-fa,
People's Law Library of Iowa,Virtual / Regional (No Address),Legal Assistance,,,,,,"Easy-to-understand website providing basic, introductory information about the law. Not legal advice or a replacement for a lawyer.",https://www.peopleslawiowa.org/,
Pioneer Columbus Community Center,Physical Location,Community Centers,2100 SE 5th Street,Des Moines,IA,50315.0,515-248-6316,"Activities including weight room, cardio area, computer lab, and Polk County congregate meals. Hours: 8 AM-7:45 PM.",https://www.dsm.city/Pioneer Columbus Community Recreation Center334.php,"2100 SE 5th Street, Des Moines, IA 50315"
Polk County Adult Services,Physical Location,Disabilities,2309 Euclid Avenue,Des Moines,IA,50310.0,515.286.3484,"Assists low-income disabled citizens (18+) with transportation, meals on wheels, and protective payee financial counseling.",https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/...,"2309 Euclid Avenue, Des Moines, IA 50310"
Polk County Bar Association (Volunteer Lawyers Project),Physical Location,Legal Assistance,"625 E Court Avenue, Suite 100",Des Moines,IA,50309.0,515.243.3904,Charitable organization providing civil legal services to low-income residents of Polk County.,https://www.pcbaonline.org/,"625 E Court Avenue, Suite 100, Des Moines, IA 50309"
Polk County Crisis and Advocacy Services,Physical Location,Mental Health,2309 Euclid Avenue,Des Moines,IA,50310.0,515.286.3600,Crisis intervention and counseling for victims of assault/abuse. Offers support groups for suicide loss survivors and homicide survivors.,https://www.polkcountyiowa.gov/community-family-youth-services/community-and-fa...,"2309 Euclid Avenue, Des Moines, IA 50310"
Polk County Department of Human Services,Physical Location,General Assistance,321 E 12th St.,Des Moines,IA,50319.0,800.972.2017,"Assists with food, childcare, and state supplementary programs.",https://dhs.iowa.gov/,"321 E 12th St., Des Moines, IA 50319"
Polk County Emergency Repair Program,Physical Location,General Assistance,5885 NE 14 Street,Des Moines,IA,50313.0,515.286.3356,"Lifetime maximum repair benefit of up to $8,000 for eligible families in homes assessed for less than $95,000.",https://www.polkcountyiowa.gov/public-works/housing-services-division/emergency...,"5885 NE 14 Street, Des Moines, IA 50313"
Polk County General Assistance,Physical Location,General Assistance,2309 Euclid Avenue,Des Moines,IA,50310.0,515.286.2088,Provides temporary financial assistance for basic services such as rent and utility assistance.,https://www.polkcountyiowa.gov/community-family-youth-services/community-and-fa/,"2309 Euclid Avenue, Des Moines, IA 50310"
Polk County Health Dept,Physical Location,General Assistance,1907 Carpenter Street,Des Moines,IA,50314.0,515.286.3798,"Offers immunizations, TB tests, primary care services, women's health services, and STD testing. Hours: Mon-Fri 8 AM-4:30 PM.",https://www.polkcountyiowa.gov/health-department/,"1907 Carpenter Street, Des Moines, IA 50314"
Polk County Life Services Center (Broadlawns Crisis Observation Center),Physical Location,Mental Health,1914 Carpenter Ave,Des Moines,IA,50314.0,515.282.5742,24/7 walk-in mental health clinic and sobering center providing a safe environment to meet with a nurse/therapist and set up ongoing mental health appointments.,https://www.broadlawns.org/clinics-and-services/mental-health/broadlawns-at-polk-county-crisis-observation-center,"1914 Carpenter Ave, Des Moines, IA 50314"
Polk County Northside Food Pantry (DMARC),Physical Location,Food Pantries,,Des Moines,IA,,,Provides food assistance in partnership with DMARC.,,
Primary Health Care (Homeless Support Services),Physical Location,Shelters,"1200 University Avenue, Suite 110A",Des Moines,IA,50314.0,515.248.1850,"Centralized Intake for homeless services in Polk County. Connects individuals/families to housing resources, benefits, and care. Walk-in only: Mon-Fri 8:00 AM-3:30 PM.",,"1200 University Avenue, Suite 110A, Des Moines, IA 50314"
Primary Health Care (B. Engebretsen Clinic),Physical Location,General Assistance,2353 SE 14th Street,Des Moines,IA,50320.0,"515.248.1400 (Med), 515.248.1470 (Dent)","Comprehensive medical, dental, and pharmacy services. Medical Hours: Tue/Thu/Fri 8 AM-5 PM, Mon/Wed 8 AM-8 PM. Dental: Mon-Fri 7:30 AM-5:30 PM.",,"2353 SE 14th Street, Des Moines, IA 50320"
Primary Health Care (East Side Campus),Physical Location,General Assistance,3509 E 29th Street,Des Moines,IA,50310.0,515.248.1600,"Comprehensive medical, internal medicine, and specialty health services. Hours: Mon-Thu 8 AM-8 PM, Fri 8 AM-5 PM, Sat 9 AM-1 PM.",,"3509 E 29th Street, Des Moines, IA 50310"
Primary Health Care (Mercy),Physical Location,General Assistance,,Des Moines,IA,,,"Provides comprehensive family medicine, annual physicals, and specialized care.",,
Project Iowa,Physical Location,Job Assistance,4801 Franklin Ave Room 106,Des Moines,IA,50309.0,515.280.1274,Provides free career training and employment placement services for individuals facing barriers to employment.,https://www.projectiowa.org/,"4801 Franklin Ave Room 106, Des Moines, IA 50309"
Proteus,Physical Location,Job Assistance,"1221 Center Street, Suite 16",Des Moines,IA,50309.0,1.800.372.6031,"Provides the National Farmworkers' Job Program (NFJP), including education, job training, healthcare, legal assistance, and counseling.",http://www.proteusinc.net/,"1221 Center Street, Suite 16, Des Moines, IA 50309"
Recovery in Action,Physical Location,Substance Abuse,PO Box 13342,Des Moines,IA,50310.0,515.771.7497,"Provides sober, safe housing and accountability for men recovering from substance abuse.",https://www.riadm.com/,"PO Box 13342, Des Moines, IA 50310"
Relay Iowa,Virtual / Regional (No Address),Disabilities,,,,,711,"Provides free telecommunications relay services (TTY, Voice Carry Over, etc.) for those with hearing or speech difficulties.",https://hamiltonrelay.com/iowa/,
Rent Reimbursement (Iowa Dept of Revenue),Physical Location,General Assistance,321 E 12th St.,Des Moines,IA,50319.0,515.420.6077,State program providing rent reimbursement for qualifying individuals.,https://hhs.iowa.gov/programs/programs-and-services/rent-reimbursement,"321 E 12th St., Des Moines, IA 50319"
Restart Recovery Homes,Virtual / Regional (No Address),Substance Abuse,,,,,515.577.2824,Sober living homes and programs for both men and women.,https://www.restartrecoveryhomes.com/,
RISE Recovery Center,Physical Location,Substance Abuse,3120 SW 9th Street,Des Moines,IA,50315.0,515.499.2105,"Community recovery support center offering social events, resources, and event spaces for wellness-focused programming.",https://www.riseiowa.org/,"3120 SW 9th Street, Des Moines, IA 50315"
Ruth Harbor,Physical Location,General Assistance,2500 University Ave.,Des Moines,IA,50311.0,515.279.4661,Christ-centered home offering programs for young moms facing unplanned pregnancies or parenting young children.,http://www.ruthharbor.org,"2500 University Ave., Des Moines, IA 50311"
S.A.F.E. Center of Iowa,Virtual / Regional (No Address),Sexual Assault,,,,,,Provides clinical services and advocacy for sexual assault survivors; set to open October 2026.,https://safecenteriowa.com/,
Safe Helpline,Virtual / Regional (No Address),Hotlines,,,,,877.995.5247,"Anonymous, confidential support for sexual assault survivors in the DoD community and beyond.",https://safehelpline.org/,
Sagent Behavioral Health,Physical Location,Mental Health,600 42nd Street,Des Moines,IA,50313.0,866.671.1115,Provides therapy and counseling services for Des Moines and surrounding areas.,https://sagentbh.com/,"600 42nd Street, Des Moines, IA 50313"
Salvation Army (Des Moines),Physical Location,General Assistance,1326 6th Avenue,Des Moines,IA,50314.0,515.282.3227,"Provides a food pantry, mobile breakfast service for those experiencing homelessness, and financial assistance for rent/utilities by appointment.",https://centralusa.salvationarmy.org/desmoinestemple/cure-hunger/,"1326 6th Avenue, Des Moines, IA 50314"
Salvation Army Adult Rehabilitation Center - E 25th,Physical Location,Substance Abuse,1216 E 25th Court,Des Moines,IA,50317.0,515.266.3156,"Free programs providing housing, food, counseling, community, and employment to treat alcohol and drug dependence. Hours: Mon-Fri 8:30 AM-4:30 PM.",https://centralusa.salvationarmy.org/desmoinescitadel/overcome-poverty/,"1216 E 25th Court, Des Moines, IA 50317"
Salvation Army Adult Rehabilitation Center - E 2nd,Physical Location,Substance Abuse,133 E 2nd Street,Des Moines,IA,50309.0,515.243.4277,"Free programs providing housing, food, counseling, community, and employment to treat alcohol and drug dependence.",https://centralusa.salvationarmy.org/,"133 E 2nd Street, Des Moines, IA 50309"
Section 8 Housing Choice Voucher Program,Physical Location,General Assistance,1200 Locust St.,Des Moines,IA,50309.0,515.323.8950,"Rental assistance for low-income families, elderly, or disabled individuals renting from private landlords. Part of Des Moines Municipal Housing Agency.",https://www.dsm.city/departments/housing/section_8.php,"1200 Locust St., Des Moines, IA 50309"
South Senior Center,Physical Location,Community Centers,100 Payton Avenue,Des Moines,IA,50315.0,515.287.0092,"Offers crafts, games, exercise, health clinics, and congregate meals (11 AM-12:30 PM). Hours: Mon-Fri 8 AM-4:30 PM.",https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/...,"100 Payton Avenue, Des Moines, IA 50315"
South Side Library,Physical Location,Branch Locations,1111 Porter Avenue,Des Moines,IA,50315.0,(515) 283-4152,"Library services available Mon-Thu 10 AM-8 PM, Fri 10 AM-6 PM, Sat 10 AM-5 PM. Community fridge accessible during library hours.",/locations-hours/south-side,"1111 Porter Avenue, Des Moines, IA 50315"
St. Vincent de Paul - 6th Avenue,Physical Location,General Assistance,1426 6th Avenue,Des Moines,IA,50314.0,515.282.8327,Offers clothes closet (M-F 9 AM-5 PM) and food pantry. Limited utility/rent assistance (under $700) available based on need/funding; call to inquire.,http://svdpdsm.org,"1426 6th Avenue, Des Moines, IA 50314"
St. Vincent de Paul - Army Post Road,Physical Location,General Assistance,500 Army Post Road,Des Moines,IA,50315.0,515.282.8328,"Offers clothes closet (M-F 9 AM-5 PM), food pantry, and wrap-around services for individuals returning to society to regain employment and education.",http://svdpdsm.org,"500 Army Post Road, Des Moines, IA 50315"
St. Joseph Emergency Family Center,Physical Location,Shelters,,Des Moines,IA,,515.282.1235,"Provides emergency shelter for homeless families for up to 30 days, including meals and laundry. Contact Primary Healthcare Outreach (515.248.1850) for intake.",https://www.catholiccharitiesdm.org/our-services/emergency-family-shelter/,
St. Luke's Free Clinic,Physical Location,General Assistance,1421 West Broadway,Polk City,IA,50226.0,515.984.6274,Clinic open the first and third Wednesday of each month from 6 PM-8 PM. No appointments necessary.,https://polkcityumc.org/mission/st-lukes-free-clinic,"1421 West Broadway, Polk City, IA 50226"
St. Mark Neighborhood Fridge,Physical Location,General Assistance,1105 Grand Ave,West Des Moines,IA,50265.0,,Community fridge open 24/7 and is handicap accessible.,https://www.stmarkwdm.org/ministries/st-mark-neighborhood-fridge,"1105 Grand Ave, West Des Moines, IA 50265"
St. Theresa Food Pantry,Physical Location,Food Pantries,1230 Merle Hay Road,Des Moines,IA,50311.0,515.279.4654,Emergency food pantry located in the church office. Hours: Mon-Wed 10 AM-1:45 PM.,https://sainttheresaiowa.org/st-theresa-food-pantry/,"1230 Merle Hay Road, Des Moines, IA 50311"
Substance Abuse Resources for Underrepresented Groups,Virtual / Regional (No Address),Substance Abuse,,,,,,"Webpage listing resources for marginalized groups (BIPOC, LGBTQIA2S+, unhoused, veterans, etc.) to support substance use disorder treatment and sobriety.",https://substanceabusecounselor.org/resources-for-marginalized-groups/,
Suicide Prevention Lifeline,Virtual / Regional (No Address),Hotlines,,,,,988,"Free, 24/7 confidential support for people in distress. Supports crisis prevention and provides resources for individuals and professionals. Available in Spanish.",https://suicidepreventionlifeline.org/,
Taxpayer Assistance Center,Physical Location,General Assistance,210 Walnut St.,Des Moines,IA,50309.0,844.545.5640,Assistance with federal tax filings and form pickup.,https://www.irs.gov/,"210 Walnut St., Des Moines, IA 50309"
Tech Journey,Physical Location,Education,4801 Franklin Ave Room 1170,Des Moines,IA,50310.0,515.207.5065,"Provides monthly gatherings and summer camps for students (ages 8-18) to learn coding, app development, robotics, and creative technology in a social environment.",https://www.techjourney.org/,"4801 Franklin Ave Room 1170, Des Moines, IA 50310"
The Beacon,Physical Location,Substance Abuse,1717 Woodland Avenue,Des Moines,IA,50314.0,515.244.4713,"Transitional housing for women featuring intensive case management, substance abuse assessment, in-house AA meetings, and a sober living environment.",https://www.mercyone.org/desmoines/house-of-mercy/,"1717 Woodland Avenue, Des Moines, IA 50314"
Thrive Together,Virtual / Regional (No Address),Sexual Assault,,,,,319.531.7719,"Provides advocacy and support for survivors of domestic violence and/or sexual assault who have hearing loss, including their family and friends.",https://www.thrivetogethertoday.org/,
Tim's CLUBe,Physical Location,Substance Abuse,PO Box 65533,West Des Moines,IA,50265.0,515.478.0985,Bible-based recovery housing.,https://timsclube.com/,"PO Box 65533, West Des Moines, IA 50265"
Touching Our Grief (TOG),Virtual / Regional (No Address),Grief,,,,,515.333.5810,Ongoing grief support sessions for adults surviving the death of a loved one. No charge.,https://everystep.org/grief-loss/beraverment,
Trans Lifeline,Virtual / Regional (No Address),Hotlines,,,,,1.877.565.8860,National trans-led organization providing a 24/7 hotline and collective community aid for trans people.,https://www.translifeline.org/,
U.S. Committee for Refugees and Immigrants (USCRI),Physical Location,Immigrants & Refugees,,Des Moines,IA,,,Provides services to help refugees and immigrants navigate transition and settlement.,,
UCS--Ankeny,Physical Location,Substance Abuse,1555 SE Delaware Avenue Suite M,Ankeny,IA,50021.0,515.280.3860,"Provides substance abuse treatment, counseling and support. Intake hours: M-F 11:30 AM-1:30 PM (Substance Use); M-F by appointment (Mental Health).",https://www.ucsonline.org/,"1555 SE Delaware Avenue Suite M, Ankeny, IA 50021"
UCS--Des Moines,Physical Location,Mental Health,1300 Woodland Ave.,West Des Moines,IA,50265.0,515.280.3860,Walk-in mental health assessments and substance abuse treatment. Medical hours: M-F 8:30 AM-5 PM. Substance abuse walk-in: M-F 8 AM-2 PM.,https://www.ucsonline.org/,"1300 Woodland Ave., West Des Moines, IA 50265"
United States Citizenship & Immigration Services,Physical Location,Immigrants & Refugees,210 Walnut Street #101,Des Moines,IA,50309.0,800.375.5283,"Provides information and application processing for citizenship, green cards, work visas, and international adoption.",https://www.uscis.gov/,"210 Walnut Street #101, Des Moines, IA 50309"
United Way of Central Iowa (211),Virtual / Regional (No Address),General Assistance,,,,,211,"24/7 information and referral system linking residents to human services, disaster support, and government programs.",http://211iowa.org/,
UnityPoint Counseling and Behavioral Medicine,Physical Location,Mental Health,6000 University Suite 200,West Des Moines,IA,50266.0,515.241.2300,Offers an extensive spectrum of mental health services for all age groups. Hours: M-F 8 AM-5 PM.,https://www.unitypoint.org/locations/unitypoint-clinic-counseling-and-psychiatr...,"6000 University Suite 200, West Des Moines, IA 50266"
University of Iowa - Clinical Law Programs,Physical Location,Legal Assistance,Boyd Law Buildings 130 Byington Rd.,Iowa City,IA,52242.0,319.335.9034,"Legal assistance for criminal defense, estate planning, immigration advocacy, and civil/employment litigation.",https://law.uiowa.edu/experiential-learning/clinical-law-program,"Boyd Law Buildings 130 Byington Rd., Iowa City, IA 52242"
University of Iowa Addiction and Recovery Collaborative,Physical Location,Substance Abuse,5 Boyd Tower 200 Hawkins Drive,Iowa City,IA,52242.0,319.335.6980,Outpatient addiction treatment and dual diagnosis services for co-occurring mental health and addiction issues.,https://uihc.org/services/addiction-medicine,"5 Boyd Tower 200 Hawkins Drive, Iowa City, IA 52242"
Urban Dreams,Physical Location,Substance Abuse,1615 2nd Ave.,Des Moines,IA,50314.0,515.288.4742,"Outpatient substance abuse treatment, OWI services, food pantry, nutrition program, and youth employment services.",https://urbandreams.org/,"1615 2nd Ave., Des Moines, IA 50314"
Urbandale Food Pantry (DMARC),Physical Location,Food Pantries,7901 Douglas Ave,Urbandale,IA,50322.0,515.251.6688,"Provides free food for up to three days. Hours: M-Th 9:30 AM-6:30 PM, Sat 8 AM-12 PM.",https://urbandalefoodpantry.org/,"7901 Douglas Ave, Urbandale, IA 50322"
VA Central Iowa Health Care System,Physical Location,Mental Health,3600 30th Street,Des Moines,IA,50310.0,515.699.5999,"Comprehensive medical/surgical, mental health, long-term care, and residential substance abuse treatment for Veterans.",https://www.centraliowa.va.gov/,"3600 30th Street, Des Moines, IA 50310"
VA Community Resource and Referral Center,Physical Location,General Assistance,1223 Center Street Suite 17,Des Moines,IA,50309.0,515.699.5637,Services for Veterans experiencing or at risk of homelessness and those with serious mental illness.,https://www.va.gov/homeless/crrc.asp,"1223 Center Street Suite 17, Des Moines, IA 50309"
Veterans Crisis Line,Virtual / Regional (No Address),Hotlines,,,,,988 (Press 1),"24/7 confidential crisis support for Veterans, their families, and friends via phone, chat, or text.",https://www.veteranscrisisline.net/,
Watchmen Food Pantry,Physical Location,Food Pantries,2723 Euclid Ave,Des Moines,IA,50310.0,,Offers food boxes (Thu 10 AM-2 PM) and hot meals (Wed 5:30 PM-6:30 PM).,https://watchmen.ngo/watchmen-food-pantry/,"2723 Euclid Ave, Des Moines, IA 50310"
Waypoint Resources,Physical Location,Food Pantries,1155 SE Boone Dr,Waukee,IA,50263.0,515.987.5523,"Provides non-perishable food and personal items. Hours: Mon 12-6 PM, Tue-Thu 9 AM-3 PM, Sat 9-11 AM.",https://waukeechristianservices.org/,"1155 SE Boone Dr, Waukee, IA 50263"
WesleyLife Grief Support,Physical Location,Grief,5508 NW 88th Street,Johnston,IA,50131.0,515.271.6789,Offers 'Growing in Grief' and widower's support programs.,https://www.wesleylife.org/blog/bereavement-services-set-hospice-care-apart,"5508 NW 88th Street, Johnston, IA 50131"
West Des Moines Human Services (DMARC),Physical Location,Food Pantries,139 6th St,West Des Moines,IA,50265.0,515.222.3660,"Provides individuals/families up to 3 days of food. Open Mon/Thu 8:30 AM-3 PM, Tue 8:30 AM-3 PM & 4:30 PM-6:30 PM, Wed/Fri 8:30 AM-12 PM.",https://www.wdm.iowa.gov/government/human-services/programs-services/food-perso...,"139 6th St, West Des Moines, IA 50265"
Westside Community Center,Physical Location,Community Centers,134 6th St,West Des Moines,IA,50265.0,515.274.0373,"Activities include crafts, games, exercise, and health clinics. Meals served 11 AM-12:30 PM.",https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/...,"134 6th St, West Des Moines, IA 50265"
WIC Program--Broadlawns,Physical Location,General Assistance,1801 Hickman Road,Des Moines,IA,50314.0,515.282.5800,"Provides nutrition education, breastfeeding support, eWIC cards, immunization screening, and health/social services referrals.",https://hhs.iowa.gov/locations/broadlawns-medical-center-wic-site,"1801 Hickman Road, Des Moines, IA 50314"
YMCA Supportive Housing Campus,Physical Location,Shelters,2 SW 9th Street,Des Moines,IA,50309.0,515.288.2424,"Housing First model providing stable, permanent housing with supportive services for homeless/at-risk individuals.",https://www.dmymca.org/locations/supportive-housing-campus,"2 SW 9th Street, Des Moines, IA 50309"
Young Women's Resource Center,Physical Location,Mental Health,818 5th Avenue,Des Moines,IA,50309.0,515.244.4901,"Provides therapy (one-on-one, couples, family) for young women and moms, plus food pantry and clothing closet.",https://ywrc.org/,"818 5th Avenue, Des Moines, IA 50309"
Your Life Iowa,Virtual / Regional (No Address),Hotlines,,,,,1.855.581.8111,"24/7 help for alcohol, drug, and gambling problems and suicidal thoughts. Provides chat, information, and treatment options.",https://yourlifeiowa.org/,
Youth Law Center,Physical Location,Legal Assistance,300 Walnut Street #295,Des Moines,IA,50309.0,515.244.1172,Provides free juvenile court representation to Polk County youth and free legal advice to youth across Iowa.,https://youthlawcenter.org/,"300 Walnut Street #295, Des Moines, IA 50309"
YSS,Physical Location,Shelters,612 Locust Street,Des Moines,IA,50309.0,515.232.4977,Shelter for homeless youth. Programs include transitional/rapid rehousing for families (16-25) and residential addiction treatment (12-18).,https://www.yss.org,"612 Locust Street, Des Moines, IA 50309"
