name,layer,dmpl_category,address,city,state,zip,phone,toolkit_resources,web_link
"Rent Reimbursement (Iowa Dept of Revenue)","Physical Location","General Assistance","321 E 12th St.","Des Moines","IA","50319","515.420.6077","State program providing rent reimbursement for qualifying individuals.","https://hhs.iowa.gov/programs/programs-and-services/rent-reimbursement"
"Restart Recovery Homes","Virtual / Regional (No Address)","Substance Abuse","","","","","515.577.2824","Sober living homes and programs for both men and women.","https://www.restartrecoveryhomes.com/"
"RISE Recovery Center","Physical Location","Substance Abuse","3120 SW 9th Street","Des Moines","IA","50315","515.499.2105","Community recovery support center offering social events, resources, and event spaces for wellness-focused programming.","https://www.riseiowa.org/"
"Ruth Harbor","Physical Location","General Assistance","2500 University Ave.","Des Moines","IA","50311","515.279.4661","Christ-centered home offering programs for young moms facing unplanned pregnancies or parenting young children.","http://www.ruthharbor.org"
"S.A.F.E. Center of Iowa","Virtual / Regional (No Address)","Sexual Assault","","","","","","Provides clinical services and advocacy for sexual assault survivors; set to open October 2026.","https://safecenteriowa.com/"
"Safe Helpline","Virtual / Regional (No Address)","Hotlines","","","","","877.995.5247","Anonymous, confidential support for sexual assault survivors in the DoD community and beyond.","https://safehelpline.org/"
"Sagent Behavioral Health","Physical Location","Mental Health","600 42nd Street","Des Moines","IA","50313","866.671.1115","Provides therapy and counseling services for Des Moines and surrounding areas.","https://sagentbh.com/"
"Salvation Army (Des Moines)","Physical Location","General Assistance","1326 6th Avenue","Des Moines","IA","50314","515.282.3227","Provides a food pantry, mobile breakfast service for those experiencing homelessness, and financial assistance for rent/utilities by appointment.","https://centralusa.salvationarmy.org/desmoinestemple/cure-hunger/"
"Salvation Army Adult Rehabilitation Center - E 25th","Physical Location","Substance Abuse","1216 E 25th Court","Des Moines","IA","50317","515.266.3156","Free programs providing housing, food, counseling, community, and employment to treat alcohol and drug dependence. Hours: Mon-Fri 8:30 AM-4:30 PM.","https://centralusa.salvationarmy.org/desmoinescitadel/overcome-poverty/"
"Salvation Army Adult Rehabilitation Center - E 2nd","Physical Location","Substance Abuse","133 E 2nd Street","Des Moines","IA","50309","515.243.4277","Free programs providing housing, food, counseling, community, and employment to treat alcohol and drug dependence.","https://centralusa.salvationarmy.org/"
"Section 8 Housing Choice Voucher Program","Physical Location","General Assistance","1200 Locust St.","Des Moines","IA","50309","515.323.8950","Rental assistance for low-income families, elderly, or disabled individuals renting from private landlords. Part of Des Moines Municipal Housing Agency.","https://www.dsm.city/departments/housing/section_8.php"
"South Senior Center","Physical Location","Community Centers","100 Payton Avenue","Des Moines","IA","50315","515.287.0092","Offers crafts, games, exercise, health clinics, and congregate meals (11 AM-12:30 PM). Hours: Mon-Fri 8 AM-4:30 PM.","https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/..."
"South Side Library","Physical Location","Branch Locations","1111 Porter Avenue","Des Moines","IA","50315","(515) 283-4152","Library services available Mon-Thu 10 AM-8 PM, Fri 10 AM-6 PM, Sat 10 AM-5 PM. Community fridge accessible during library hours.","/locations-hours/south-side"
"St. Vincent de Paul - 6th Avenue","Physical Location","General Assistance","1426 6th Avenue","Des Moines","IA","50314","515.282.8327","Offers clothes closet (M-F 9 AM-5 PM) and food pantry. Limited utility/rent assistance (under $700) available based on need/funding; call to inquire.","http://svdpdsm.org"
"St. Vincent de Paul - Army Post Road","Physical Location","General Assistance","500 Army Post Road","Des Moines","IA","50315","515.282.8328","Offers clothes closet (M-F 9 AM-5 PM), food pantry, and wrap-around services for individuals returning to society to regain employment and education.","http://svdpdsm.org"
"St. Joseph Emergency Family Center","Physical Location","Shelters","","Des Moines","IA","","515.282.1235","Provides emergency shelter for homeless families for up to 30 days, including meals and laundry. Contact Primary Healthcare Outreach (515.248.1850) for intake.","https://www.catholiccharitiesdm.org/our-services/emergency-family-shelter/"
"St. Luke's Free Clinic","Physical Location","General Assistance","1421 West Broadway","Polk City","IA","50226","515.984.6274","Clinic open the first and third Wednesday of each month from 6 PM-8 PM. No appointments necessary.","https://polkcityumc.org/mission/st-lukes-free-clinic"
"St. Mark Neighborhood Fridge","Physical Location","General Assistance","1105 Grand Ave","West Des Moines","IA","50265","","Community fridge open 24/7 and is handicap accessible.","https://www.stmarkwdm.org/ministries/st-mark-neighborhood-fridge"
"St. Theresa Food Pantry","Physical Location","Food Pantries","1230 Merle Hay Road","Des Moines","IA","50311","515.279.4654","Emergency food pantry located in the church office. Hours: Mon-Wed 10 AM-1:45 PM.","https://sainttheresaiowa.org/st-theresa-food-pantry/"
"Substance Abuse Resources for Underrepresented Groups","Virtual / Regional (No Address)","Substance Abuse","","","","","","Webpage listing resources for marginalized groups (BIPOC, LGBTQIA2S+, unhoused, veterans, etc.) to support substance use disorder treatment and sobriety.","https://substanceabusecounselor.org/resources-for-marginalized-groups/"
"Suicide Prevention Lifeline","Virtual / Regional (No Address)","Hotlines","","","","","988","Free, 24/7 confidential support for people in distress. Supports crisis prevention and provides resources for individuals and professionals. Available in Spanish.","https://suicidepreventionlifeline.org/"
"Taxpayer Assistance Center","Physical Location","General Assistance","210 Walnut St.","Des Moines","IA","50309","844.545.5640","Assistance with federal tax filings and form pickup.","https://www.irs.gov/"
"Tech Journey","Physical Location","Education","4801 Franklin Ave Room 1170","Des Moines","IA","50310","515.207.5065","Provides monthly gatherings and summer camps for students (ages 8-18) to learn coding, app development, robotics, and creative technology in a social environment.","https://www.techjourney.org/"
"The Beacon","Physical Location","Substance Abuse","1717 Woodland Avenue","Des Moines","IA","50314","515.244.4713","Transitional housing for women featuring intensive case management, substance abuse assessment, in-house AA meetings, and a sober living environment.","https://www.mercyone.org/desmoines/house-of-mercy/"
"Thrive Together","Virtual / Regional (No Address)","Sexual Assault","","","","","319.531.7719","Provides advocacy and support for survivors of domestic violence and/or sexual assault who have hearing loss, including their family and friends.","https://www.thrivetogethertoday.org/"
"Tim's CLUBe","Physical Location","Substance Abuse","PO Box 65533","West Des Moines","IA","50265","515.478.0985","Bible-based recovery housing.","https://timsclube.com/"
"Touching Our Grief (TOG)","Virtual / Regional (No Address)","Grief","","","","","515.333.5810","Ongoing grief support sessions for adults surviving the death of a loved one. No charge.","https://everystep.org/grief-loss/beraverment"
"Trans Lifeline","Virtual / Regional (No Address)","Hotlines","","","","","1.877.565.8860","National trans-led organization providing a 24/7 hotline and collective community aid for trans people.","https://www.translifeline.org/"
"U.S. Committee for Refugees and Immigrants (USCRI)","Physical Location","Immigrants & Refugees","","Des Moines","IA","","","Provides services to help refugees and immigrants navigate transition and settlement.",""
"UCS--Ankeny","Physical Location","Substance Abuse","1555 SE Delaware Avenue Suite M","Ankeny","IA","50021","515.280.3860","Provides substance abuse treatment, counseling and support. Intake hours: M-F 11:30 AM-1:30 PM (Substance Use); M-F by appointment (Mental Health).","https://www.ucsonline.org/"
"UCS--Des Moines","Physical Location","Mental Health","1300 Woodland Ave.","West Des Moines","IA","50265","515.280.3860","Walk-in mental health assessments and substance abuse treatment. Medical hours: M-F 8:30 AM-5 PM. Substance abuse walk-in: M-F 8 AM-2 PM.","https://www.ucsonline.org/"
"United States Citizenship & Immigration Services","Physical Location","Immigrants & Refugees","210 Walnut Street #101","Des Moines","IA","50309","800.375.5283","Provides information and application processing for citizenship, green cards, work visas, and international adoption.","https://www.uscis.gov/"
"United Way of Central Iowa (211)","Virtual / Regional (No Address)","General Assistance","","","","","211","24/7 information and referral system linking residents to human services, disaster support, and government programs.","http://211iowa.org/"
"UnityPoint Counseling and Behavioral Medicine","Physical Location","Mental Health","6000 University Suite 200","West Des Moines","IA","50266","515.241.2300","Offers an extensive spectrum of mental health services for all age groups. Hours: M-F 8 AM-5 PM.","https://www.unitypoint.org/locations/unitypoint-clinic-counseling-and-psychiatr..."
"University of Iowa - Clinical Law Programs","Physical Location","Legal Assistance","Boyd Law Buildings 130 Byington Rd.","Iowa City","IA","52242","319.335.9034","Legal assistance for criminal defense, estate planning, immigration advocacy, and civil/employment litigation.","https://law.uiowa.edu/experiential-learning/clinical-law-program"
"University of Iowa Addiction and Recovery Collaborative","Physical Location","Substance Abuse","5 Boyd Tower 200 Hawkins Drive","Iowa City","IA","52242","319.335.6980","Outpatient addiction treatment and dual diagnosis services for co-occurring mental health and addiction issues.","https://uihc.org/services/addiction-medicine"
"Urban Dreams","Physical Location","Substance Abuse","1615 2nd Ave.","Des Moines","IA","50314","515.288.4742","Outpatient substance abuse treatment, OWI services, food pantry, nutrition program, and youth employment services.","https://urbandreams.org/"
"Urbandale Food Pantry (DMARC)","Physical Location","Food Pantries","7901 Douglas Ave","Urbandale","IA","50322","515.251.6688","Provides free food for up to three days. Hours: M-Th 9:30 AM-6:30 PM, Sat 8 AM-12 PM.","https://urbandalefoodpantry.org/"
"VA Central Iowa Health Care System","Physical Location","Mental Health","3600 30th Street","Des Moines","IA","50310","515.699.5999","Comprehensive medical/surgical, mental health, long-term care, and residential substance abuse treatment for Veterans.","https://www.centraliowa.va.gov/"
"VA Community Resource and Referral Center","Physical Location","General Assistance","1223 Center Street Suite 17","Des Moines","IA","50309","515.699.5637","Services for Veterans experiencing or at risk of homelessness and those with serious mental illness.","https://www.va.gov/homeless/crrc.asp"
"Veterans Crisis Line","Virtual / Regional (No Address)","Hotlines","","","","","988 (Press 1)","24/7 confidential crisis support for Veterans, their families, and friends via phone, chat, or text.","https://www.veteranscrisisline.net/"
"Watchmen Food Pantry","Physical Location","Food Pantries","2723 Euclid Ave","Des Moines","IA","50310","","Offers food boxes (Thu 10 AM-2 PM) and hot meals (Wed 5:30 PM-6:30 PM).","https://watchmen.ngo/watchmen-food-pantry/"
"Waypoint Resources","Physical Location","Food Pantries","1155 SE Boone Dr","Waukee","IA","50263","515.987.5523","Provides non-perishable food and personal items. Hours: Mon 12-6 PM, Tue-Thu 9 AM-3 PM, Sat 9-11 AM.","https://waukeechristianservices.org/"
"WesleyLife Grief Support","Physical Location","Grief","5508 NW 88th Street","Johnston","IA","50131","515.271.6789","Offers 'Growing in Grief' and widower's support programs.","https://www.wesleylife.org/blog/bereavement-services-set-hospice-care-apart"
"West Des Moines Human Services (DMARC)","Physical Location","Food Pantries","139 6th St","West Des Moines","IA","50265","515.222.3660","Provides individuals/families up to 3 days of food. Open Mon/Thu 8:30 AM-3 PM, Tue 8:30 AM-3 PM & 4:30 PM-6:30 PM, Wed/Fri 8:30 AM-12 PM.","https://www.wdm.iowa.gov/government/human-services/programs-services/food-perso..."
"Westside Community Center","Physical Location","Community Centers","134 6th St","West Des Moines","IA","50265","515.274.0373","Activities include crafts, games, exercise, and health clinics. Meals served 11 AM-12:30 PM.","https://www.polkcountyiowa.gov/community-family-youth-services/senior-services/..."
"WIC Program--Broadlawns","Physical Location","General Assistance","1801 Hickman Road","Des Moines","IA","50314","515.282.5800","Provides nutrition education, breastfeeding support, eWIC cards, immunization screening, and health/social services referrals.","https://hhs.iowa.gov/locations/broadlawns-medical-center-wic-site"
"YMCA Supportive Housing Campus","Physical Location","Shelters","2 SW 9th Street","Des Moines","IA","50309","515.288.2424","Housing First model providing stable, permanent housing with supportive services for homeless/at-risk individuals.","https://www.dmymca.org/locations/supportive-housing-campus"
"Young Women's Resource Center","Physical Location","Mental Health","818 5th Avenue","Des Moines","IA","50309","515.244.4901","Provides therapy (one-on-one, couples, family) for young women and moms, plus food pantry and clothing closet.","https://ywrc.org/"
"Your Life Iowa","Virtual / Regional (No Address)","Hotlines","","","","","1.855.581.8111","24/7 help for alcohol, drug, and gambling problems and suicidal thoughts. Provides chat, information, and treatment options.","https://yourlifeiowa.org/"
"Youth Law Center","Physical Location","Legal Assistance","300 Walnut Street #295","Des Moines","IA","50309","515.244.1172","Provides free juvenile court representation to Polk County youth and free legal advice to youth across Iowa.","https://youthlawcenter.org/"
"YSS","Physical Location","Shelters","612 Locust Street","Des Moines","IA","50309","515.232.4977","Shelter for homeless youth. Programs include transitional/rapid rehousing for families (16-25) and residential addiction treatment (12-18).","https://www.yss.org"
